Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2002-06-27,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-06-27,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-07-03,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,945.0
2002-07-04,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2002-07-04,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-07-05,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Redilas,2.0
2002-07-05,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,8.0
2002-07-05,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,18.0
2002-07-09,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,870.0
2002-07-11,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
2002-07-11,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-07-16,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,930.0
2002-07-24,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1170.0
2002-07-25,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2002-07-25,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-07-31,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1350.0
2002-08-01,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2002-08-01,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-08-08,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-08-08,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-08-09,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Redilas,12.0
2002-08-09,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,17.0
2002-08-15,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2002-08-15,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2002-08-22,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,12.0
