producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-13,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL VIRREYES,"AGUILAR Y SEIJAS 123, ESQ. ACUEDUCTO RIO HONDO",MOLINO DEL REY,11040,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-13,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,34.5,2026-05-13,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CONSULADO (418),"RIO CONSULADO 2355, ESQ. CARLOS MARX",SIMON BOLIVAR,15410,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-13,WAL-MART,WALMART SUCURSAL AEROPUERTO,"CALZ. IGNACIO ZARAGOZA 58, ESQ. BLVD. PUERTO AEREO",FEDERAL,15700,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,34.5,2026-05-13,CHEDRAUI,CHEDRAUI SUCURSAL ANFORA,"ANFORA 71, ESQ. EJE 1 NORTE",MADERO,15320,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-05-13,MERCADO PUBLICO,MERCADO ROMERO RUBIO,"CAIRO S/N, ESQ. PERSIA",ROMERO RUBIO,15400,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-13,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LA VIGA,CALZ. DE LA VIGA 136 ESQ. DEL TALLER,LORENZO BOTURINI,15820,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-13,WAL-MART,WALMART SUCURSAL BALBUENA,"FRAY SERVANDO TERESA DE MIER 881, ENTRE FERNANDO IGLESI",JARDIN BALBUENA,15900,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-13,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-14,LA COMER,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,"MIGUEL ANGEL DE QUEVEDO 443, ENTRE MELCHOR OCAMPO Y PSI",ROMERO DE TERREROS,4310,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-14,WAL-MART,WALMART SUCURSAL CUITLAHUAC,"CUITLAHUAC 3651, ENTRE TORONJIL Y FERROCARRIL C.",HOGAR Y SEGURIDAD,2820,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-14,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL SENA,"RIO BALSAS 23, ENTRE RIO SENA Y RIO TIGRIS",CUAUHTEMOC,6500,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-14,WAL-MART,WALMART SUCURSAL NEXTENGO,"NEXTENGO 78, ENTRE FERROCARRILES NACIONALES Y SANTA CRU",SANTA CRUZ ACAYUCAN,2770,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-14,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL ASTURIAS,"CALZ. CHABACANO 43, ESQ. JOSE ANTONIO TORRES",ASTURIAS,6850,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-14,BODEGA AURRERA EXPRESS,BODEGA AURRERA EXPRESS SUCURSAL AZCAPOTZALCO,AHUACATITLA 11,AZCAPOTZALCO CENTRO,2000,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,64.9,2026-05-14,MERCADO SORIANA,MERCADO SORIANA SUCURSAL AZCAPOTZALCO,"AZCAPOTZALCO NO. 527, CALLE LIBERTAD Y 16 DE SEPTIEMBRE",AZCAPOTZALCO,2000,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-14,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CUITLAHUAC (253),"CUITLAHUAC 372, ENTRE PANTACO Y RABAI",JARDÍN AZPETIA,2530,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-14,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CANTIL,"AZTECAS 221, ENTRE EJE 10 Y REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-05-14,MERCADO PUBLICO,MERCADO VICTORIA DE LAS DEMOCRACIAS,"PIMIENTA S/N, ESQ. TORONJIL",IGNACIO ALLENDE,2810,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-14,LA COMER,LACOMER SUCURSAL SANTA MARIA LA RIBERA,"NOGAL 212, ESQ. CARPIO",SANTA MARIA LA RIBERA,6400,Cuauhtémoc,Ciudad de México
