producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-04-29,MERCADO PUBLICO,MERCADO HIDALGO,"PALMERAS S/N, ESQ. EMILIO CARRANZA",REFORMA,68000,Oaxaca,Oaxaca
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-04-29,MERCADO PUBLICO,MERCADO HIDALGO,"PALMERAS S/N, ESQ. EMILIO CARRANZA",REFORMA,68000,Oaxaca,Oaxaca
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA,"CONVENCION 1914 PTE. 1101, ENTRE A. DE LOS ARELLANO Y G",GUADALUPE,20180,Aguascalientes,Aguascalientes
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA,"CONVENCION 1914 PTE. 1101, ENTRE A. DE LOS ARELLANO Y G",GUADALUPE,20180,Aguascalientes,Aguascalientes
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.0,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,04850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.0,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,04850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.0,2026-04-29,CENTRAL DE ABASTOS,MERCADO ABASTOS,"BETABEL S/N, ENTRE PASEO DE LA ARBOLEDA Y DEL MERCADO (",MERCADO DE ABASTOS,44530,Guadalajara,Jalisco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.0,2026-04-29,CENTRAL DE ABASTOS,MERCADO ABASTOS,"BETABEL S/N, ENTRE PASEO DE LA ARBOLEDA Y DEL MERCADO (",MERCADO DE ABASTOS,44530,Guadalajara,Jalisco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-04-29,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL TAXQUEÑA,"CALZ. TAXQUEÑA 1752, ENTRE PASEO DE LOS JARDINES Y HERO",TAXQUEÑA,04280,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-04-29,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL TAXQUEÑA,"CALZ. TAXQUEÑA 1752, ENTRE PASEO DE LOS JARDINES Y HERO",TAXQUEÑA,04280,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,09830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,09830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.0,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL UPAEP (077),"9 PONIENTE NO. 1901, 19 SUR Y 21 SUR",BARRIO DE SANTIAGO,72000,Puebla,Puebla
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.0,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL UPAEP (077),"9 PONIENTE NO. 1901, 19 SUR Y 21 SUR",BARRIO DE SANTIAGO,72000,Puebla,Puebla
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-04-29,FRESKO LA COMER,FRESKO  LA COMER SUCURSAL SAN LUIS POTOSÍ,"BLVD. ANTONIO ROCHA CORDERO 392, ESQ. DE LA MARQUESA",VILLANTIGUA,78214,San Luis Potosí,San Luis Potosí
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.9,2026-04-29,FRESKO LA COMER,FRESKO  LA COMER SUCURSAL SAN LUIS POTOSÍ,"BLVD. ANTONIO ROCHA CORDERO 392, ESQ. DE LA MARQUESA",VILLANTIGUA,78214,San Luis Potosí,San Luis Potosí
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,09830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,09830,Iztapalapa,Ciudad de México
